GeneName	Prime3	Prime5
g858	5443	437
g884	1000	559
g893	1312	293
g902	78	3318
g937	2154	322
g938	322	94
g955	554	954
g977	1039	202
g1041	414	75
g1045	94	365
g1066	658	116
g1071	810	374
g1135	281	864
g1177	182	378
g1492	223	1225
g1520	240	445
g1533	1204	745
g1546	1375	497
g1553	3428	138
g1559	555	277
g1580	561	1069
g1607	340	361
g1659	167	99
g1800	217	2803
g2050	1614	536
g2387	387	407
g2428	2810	414
g2456	171	98
g2470	705	157
g2506	2825	2547
g2614	207	320
g2619	276	526
g2708	158	263
g2748	288	240
g2847	690	389
g2861	545	786
g3017	258	834
g3078	766	378
g3085	303	675
g3209	494	84
g3283	104	150
g3332	215	870
g3358	758	271
g3390	677	262
g3450	234	520
g3476	197	321
g3543	263	377
g3647	406	1382
g3671	250	149
g3708	393	537
g3762	823	430
g3816	548	1902
g3872	755	1392
g4119	65	451
g4143	100	352
g4152	1492	147
g4160	156	100
g4167	493	421
g4178	151	9
g4210	29	138
g4272	118	507
g4286	1008	247
g4380	637	138
g4381	138	287
g4382	287	315
g4402	555	190
g4412	112	9
g4427	1441	1118
g4449	253	195
g4481	529	421
g4482	421	814
g4503	352	300
g4504	300	24
g4526	500	363
g4536	232	568
g4565	146	246
g4594	233	2245
g4615	354	287
g4688	278	2370
g4801	596	519
g4827	768	1196
g4833	432	68
g4851	230	1731
g4918	237	4390
g5017	66	1007
g5044	509	472
g5056	1377	146
g5125	2891	406
g5126	406	176
g5143	287	401
g5181	109	282
g5182	282	1758
g5185	157	182
g5231	430	201
g5242	294	312
g5251	270	597
g5272	334	1685
g5593	741	1708
g5787	6255	553
g6310	233	184
g6315	451	777
g6343	280	765
g6696	1746	561
g6833	164	595
g6893	1352	735
g6907	1495	1534
g6926	48	659
g6940	1168	185
g6969	10725	337
g7005	580	376
g7019	313	753
g7044	1099	599
g7151	2359	472
g7305	495	1461
g7407	184	99
g7461	105	56
g7681	149	28
g7682	28	791
g7689	1074	160
g7690	160	941
g7691	941	277
g7696	1001	63
g7783	1053	1557
g8789	59	239
g9057	118	3576
g9069	543	163
g9516	770	4458
g9548	478	1027
g9655	1251	1455
g9658	19317	350
g9686	503	458
g9769	232	1135
g9920	208	198
g9953	655	583
g9984	332	391
g10235	605	372
g10304	757	221
g10327	941	94
g10346	134	212
g10390	139	1573
g10407	1076	679
g10512	180	3398
g10839	519	565
g11055	874	933
g11097	208	8928
g11156	None	166
g11260	564	384
g11476	4120	23
g11511	2577	279
g11638	523	1361
g12187	337	57
g12206	390	370
g12208	359	1257
g12210	712	507
g12220	2144	213
g12253	1337	1390
g12255	64	466
g12284	193	365
g12325	950	1231
g12667	336	3732
g12782	2768	445
g12999	203	629
g13195	1786	124
g13213	713	1739
g13275	1099	154
g13281	736	318
g13295	708	1542
g13436	593	3084
g13592	2298	248
g13668	185	208
g13674	461	569
g13695	263	349
g13718	209	71
g13741	197	261
g13764	471	229
g13890	874	124
g13903	520	461
g13941	369	185
g13990	190	21
g14027	333	859
g14128	334	22
g14133	149	610
g14154	297	892
g14181	151	277
g14216	165	44
g14222	1016	2062
g14241	524	3487
g14243	555	242
g14262	208	31
g14265	112	253
g14273	460	350
g14458	694	239
g14520	2644	45
g14591	2881	987
g14597	159	438
g14601	376	460
g14640	631	461
g14717	364	446
g14808	480	149
g14814	350	777
g14943	352	261
g14957	386	371
g14962	24	261
g15005	630	662
g15008	1305	664
g15131	585	613
g15168	532	327
g15197	377	185
g15264	61	70
g15277	84	596
g15345	578	74
g15483	223	1035
g15496	1186	1548
g15511	640	180
g15689	266	1266
g15703	1501	2306
g15713	648	858
g15766	552	1080
g15809	1288	172
g15835	498	336
g15843	1540	407
g15845	261	743
g15872	48	280
g15929	508	234
g15958	456	72
g15983	438	124
g15986	490	220
g16124	299	315
g16131	136	225
g16207	35	571
g16859	337	1040
g17018	517	443
g17021	1075	407
g17048	419	1480
g17062	1157	2863
g17079	156	657
g17393	208	8928
g17565	598	592
g17579	125	217
g17901	468	880
