GeneName	Prime3	Prime5
g1	None	691
g2	691	161
g3	161	169
g4	169	942
g5	942	4627
g6	4627	423
g7	423	459
g8	459	182
g9	182	47
g10	47	164
g11	164	59
g12	59	631
g13	631	374
g14	374	85
g15	1998	7898
g16	85	146
g17	146	1922
g18	1922	1463
g19	1463	142
g20	142	4406
g21	4406	210
g22	210	281
g23	281	None
g24	None	61
g25	61	224
g26	224	255
g27	255	295
g28	295	1926
g29	1926	171
g30	171	557
g31	557	430
g32	430	63
g33	63	797
g34	797	430
g35	430	231
g36	231	403
g37	403	294
g38	294	7630
g39	7630	797
g40	797	430
g41	430	231
g42	231	221
g43	221	294
g44	294	47441
g45	47441	39586
g46	39586	27688
g47	27688	37594
g48	37594	5700
g49	5700	19750
g50	19750	12407
g51	12407	24653
g52	24653	14865
g53	14865	30032
g54	30032	29
g55	29	135
g56	135	49
g57	49	156
g58	156	147
g59	147	25
g60	25	59
g61	59	88
g62	88	103
g63	103	50
g64	50	79
g65	79	49467
g66	49467	None
g67	None	130
g68	130	1595
g69	1595	3968
g70	3968	2144
g71	2144	2469
g72	2469	1247
g73	1247	2457
g74	2457	470
g75	470	300
g76	300	5644
g77	5644	24
g78	24	461
g79	461	399
g80	399	2515
g81	2515	1406
g82	1406	761
g83	761	2582
g84	2582	124
g85	124	3576
g86	3576	2138
g87	2138	1653
g88	1653	1073
g89	1073	2325
g90	2325	1267
g91	1267	12855
g92	12855	1635
g93	1635	548
g94	548	537
g95	537	856
g96	856	6397
g97	6397	2930
g98	6824	440
g99	440	1395
g100	1395	507
g101	507	927
g102	927	4126
g103	4126	None
g104	None	1019
g105	1019	126
g106	126	134698
g107	134698	38742
g108	38742	433
g109	433	None
g110	None	28
g111	28	734
g112	734	13
g113	13	8020
g114	8020	1361
g115	1361	2656
g116	2656	1674
g117	1674	1216
g118	1216	10259
g119	10259	752
g120	752	1509
g121	1509	4
g122	4	105
g123	105	2029
g124	2029	1624
g125	1624	1608
g126	1608	28
g127	28	3122
g128	3122	5316
g129	5316	518
g130	518	1033
g131	1033	2725
g132	2725	1463
g133	1463	9463
g134	9463	640
g135	640	676
g136	676	1279
g137	1279	1018
g138	1018	195
g139	195	958
g140	958	2635
g141	2635	175
g142	175	234
g143	234	544
g144	544	2902
g145	2902	6805
g146	6805	926
g147	926	3337
g148	3337	1669
g149	1669	283
g150	283	3114
g151	3114	896
g152	896	1971
g153	1971	395
g154	395	3493
g155	3493	450
g156	450	1985
g157	1985	5572
g158	5572	3445
g159	3445	6025
g160	6025	5548
g161	5548	452
g162	452	1681
g163	1681	12042
g164	12042	2081
g165	2081	4045
g166	4045	26
g167	26	10415
g168	10415	2808
g169	2808	361
g170	361	2148
g171	2148	1009
g172	1009	399
g173	399	774
g174	774	3060
g175	3060	1505
g176	1505	1152
g177	1152	1285
g178	1285	5338
g179	5338	1241
g180	1241	239
g181	239	2360
g182	2360	2244
g183	2244	2384
g184	2384	2720
g185	2720	2376
g186	2376	710
g187	710	808
g188	808	1459
g189	1459	8023
g190	8023	3935
g191	3935	8148
g192	8148	2752
g193	2752	563
g194	563	875
g195	875	450
g196	450	2260
g197	2260	1114
g198	1114	3103
g199	3103	1105
g200	1105	615
g201	615	598
g202	598	559
g203	559	1293
g204	1293	1968
g205	1968	457
g206	457	5832
g207	5832	3170
g208	3170	8481
g209	8481	2132
g210	2132	2727
g211	2727	1371
g212	1371	2369
g213	2369	630
g214	630	6779
g215	6779	2513
g216	2513	1799
g217	1799	992
g218	992	829
g219	829	5771
g220	5771	53
g221	53	5009
g222	5009	1441
g223	1441	1776
g224	1776	4673
g225	4673	1043
g226	1043	583
g227	583	1695
g228	1695	1095
g229	1095	1643
g230	1643	3106
g231	3106	717
g232	717	757
g233	757	7069
g234	7069	479
g235	479	962
g236	962	912
g237	912	1637
g238	1637	4074
g239	4074	1733
g240	1733	268
g241	268	3812
g242	3812	2028
g243	2028	343
g244	343	600
g245	600	7521
g246	7521	1026
g247	1026	3020
g248	3020	4620
g249	4620	2386
g250	2386	1465
g251	1465	3920
g252	3920	2360
g253	2360	2387
g254	2387	2531
g255	2531	3000
g256	3000	2991
g257	2991	1571
