GeneName	Prime3	Prime5
g18	1922	1463
g19	1463	142
g282	992	209
g388	1182	2432
g2140	706	1651
g3029	1013	624
g3601	167	536
g3603	2729	1080
g3918	789	346
g4971	1815	2233
g5556	2832	765
g5557	765	112
g5559	3519	349
g5595	3108	26
g5596	26	905
g5600	6466	851
g5780	970	676
g5876	1625	1061
g5993	1223	3203
g6195	987	1179
g6731	2262	1144
g7150	26221	2359
g7156	4153	6204
g8357	6187	206
g8544	3305	90
g8874	101	1519
g9945	2114	819
g10375	885	1208
g10376	1208	1583
g10646	1869	432
g10674	3720	534
g11006	1369	1161
g11346	34170	21001
g11351	57185	61846
g11632	344	849
g11649	1262	None
g12582	163	718
g13109	440	1302
g13431	656	104
g14966	1222	267
g16648	2271	982
g17608	4068	1405
